nroErrores;Error;GÉNERO;AÑO;GRADO;GRUPO;FECHA DE NACIMIENTO;EDAD;NIVEL;CATEGORÍA;UNIDAD ACADÉMICA;SEDE;PROGRAMA EDUCATIVO;NACIONALIDAD;ESTADO DE NACIMIENTO;LENGUA INDÍGENA;Núm. ALUMNOS
20;Valores repetidos;H;2008           ;7              ;2              ;30/10/1986;21             ;LICENCIATURA;BECADO INTERNO;DEIS EN IRRIGACIÓN        ;CHAPINGO;INGENIERO EN IRRIGACI;MEXICANA;CHIAPAS        ;             ;1              
21;Valores repetidos;M;2008           ;4              ;1              ;15/06/1989;19             ;LICENCIATURA;BECADO INTERNO;UNIDAD REGIONAL UNIVERSITA;URUZA   ;TRONCO COMÚN AGRONÓMI;MEXICANA;HIDALGO        ;             ;1              
22;Valores repetidos;M;2008           ;4              ;1              ;19/12/1989;18             ;LICENCIATURA;BECADO EXTERNO;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;             ;1              
23;Valores repetidos;M;2008           ;4              ;1              ;18/02/1990;18             ;LICENCIATURA;EXTERNO       ;DEIS EN SOCIOLOGÍA RURAL  ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;             ;1              
24;Valores repetidos;M;2008           ;4              ;3              ;02/10/1990;17             ;LICENCIATURA;EXTERNO       ;DEIS EN IRRIGACIÓN        ;CHAPINGO;INGENIERO EN IRRIGACI;MEXICANA;MÉXICO         ;             ;1              
25;Valores repetidos;M;2008           ;7              ;1              ;24/02/1986;22             ;LICENCIATURA;EXTERNO       ;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;LICENCIATURA EN COMER;MEXICANA;MÉXICO         ;             ;1              
26;Valores repetidos;H;2009           ;1              ;3              ;02/01/1994;15             ;PREPARATORIA;EXTERNO       ;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;MÉXICO         ;             ;1              
27;Valores repetidos;H;2009           ;1              ;10             ;23/08/1994;15             ;PREPARATORIA;BECADO INTERNO;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;GUERRERO       ;             ;1              
28;Valores repetidos;H;2009           ;2              ;2              ;30/08/1993;16             ;PREPARATORIA;EXTERNO       ;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;MÉXICO         ;             ;1              
29;Valores repetidos;H;2009           ;2              ;12             ;16/02/1993;16             ;PREPARATORIA;BECADO INTERNO;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;MÉXICO         ;             ;1              
30;Valores repetidos;H;2009           ;3              ;6              ;13/06/1992;17             ;PREPARATORIA;EXTERNO       ;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;MÉXICO         ;             ;1              
31;Valores repetidos;H;2009           ;4              ;1              ;09/09/1990;19             ;LICENCIATURA;EXTERNO       ;DEIS EN AGROECOLOGÍA      ;CHAPINGO;INGENIERÍA EN AGROECO;MEXICANA;MÉXICO         ;             ;1              
32;Valores repetidos;H;2009           ;4              ;1              ;16/09/1990;19             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;TRONCO COMÚN DE DICEA;MEXICANA;OAXACA         ;HUAVE        ;1              
33;Valores repetidos;H;2009           ;4              ;2              ;23/10/1991;17             ;LICENCIATURA;EXTERNO       ;DIVISIÓN DE CIENCIAS FORES;CHAPINGO;INGENIERO FORESTAL   ;MEXICANA;MÉXICO         ;             ;1              
34;Valores repetidos;H;2009           ;4              ;3              ;10/09/1990;19             ;LICENCIATURA;BECADO INTERNO;DEIS EN IRRIGACIÓN        ;CHAPINGO;INGENIERO EN IRRIGACI;MEXICANA;PUEBLA         ;             ;1              
35;Valores repetidos;H;2009           ;4              ;3              ;09/08/1991;18             ;LICENCIATURA;EXTERNO       ;DEIS EN INGENIERÍA AGROIND;CHAPINGO;INGENIERÍA AGROINDUST;MEXICANA;MÉXICO         ;             ;1              
36;Valores repetidos;H;2009           ;4              ;4              ;08/01/1990;19             ;LICENCIATURA;BECADO INTERNO;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;PUEBLA         ;             ;1              
37;Valores repetidos;H;2009           ;5              ;1              ;02/11/1990;18             ;LICENCIATURA;EXTERNO       ;DEIS EN PARASITOLOGÍA AGRÍ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;             ;1              
38;Valores repetidos;H;2009           ;5              ;2              ;19/05/1990;19             ;LICENCIATURA;EXTERNO       ;DEIS EN FITOTECNIA        ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;CHIAPAS        ;             ;1              
39;Valores repetidos;H;2009           ;5              ;4              ;13/08/1990;19             ;LICENCIATURA;EXTERNO       ;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;LICENCIATURA EN ECONO;MEXICANA;MÉXICO         ;             ;1              
40;Valores repetidos;H;2009           ;6              ;1              ;18/02/1989;20             ;LICENCIATURA;BECADO INTERNO;DEIS EN PARASITOLOGÍA AGRÍ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;CHIAPAS        ;TSOTSIL      ;1              
41;Valores repetidos;H;2009           ;6              ;3              ;28/09/1988;21             ;LICENCIATURA;BECADO INTERNO;DEIS EN PARASITOLOGÍA AGRÍ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;             ;1              
42;Valores repetidos;H;2009           ;6              ;3              ;07/12/1989;19             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;LICENCIATURA EN ECONO;MEXICANA;MÉXICO         ;             ;1              
43;Valores repetidos;H;2009           ;7              ;1              ;19/12/1988;20             ;LICENCIATURA;BECADO INTERNO;DEIS EN INGENIERÍA MECÁNIC;CHAPINGO;INGENIERO MECÁNICO AG;MEXICANA;OAXACA         ;             ;1              
44;Valores repetidos;H;2009           ;7              ;2              ;31/12/1987;21             ;LICENCIATURA;EXTERNO       ;DEIS EN FITOTECNIA        ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;             ;1              
45;Valores repetidos;H;2009           ;7              ;2              ;26/02/1988;21             ;LICENCIATURA;EXTERNO       ;DEIS EN FITOTECNIA        ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;             ;1              
46;Valores repetidos;H;2009           ;7              ;3              ;08/01/1988;21             ;LICENCIATURA;BECADO INTERNO;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;LICENCIATURA EN ECONO;MEXICANA;OAXACA         ;             ;1              
47;Valores repetidos;M;2009           ;4              ;1              ;20/10/1990;18             ;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA AGROIND;CHAPINGO;INGENIERÍA AGROINDUST;MEXICANA;MÉXICO         ;             ;1              
48;Valores repetidos;M;2009           ;4              ;2              ;13/09/1990;19             ;LICENCIATURA;BECADO INTERNO;UNIDAD REGIONAL UNIVERSITA;URUZA   ;TRONCO COMÚN AGRONÓMI;MEXICANA;ZACATECAS      ;             ;1              
49;Valores repetidos;M;2009           ;4              ;3              ;27/11/1990;18             ;LICENCIATURA;BECADO INTERNO;DEIS EN INGENIERÍA AGROIND;CHAPINGO;INGENIERÍA AGROINDUST;MEXICANA;OAXACA         ;             ;1              
50;Valores repetidos;M;2009           ;5              ;1              ;15/06/1989;20             ;LICENCIATURA;BECADO INTERNO;UNIDAD REGIONAL UNIVERSITA;URUZA   ;INGENIERÍA EN SISTEMA;MEXICANA;HIDALGO        ;             ;1              
51;Valores repetidos;M;2009           ;5              ;1              ;19/12/1989;19             ;LICENCIATURA;BECADO EXTERNO;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;             ;1              
52;Valores repetidos;M;2009           ;5              ;4              ;02/10/1990;18             ;LICENCIATURA;EXTERNO       ;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;LICENCIATURA EN ECONO;MEXICANA;MÉXICO         ;             ;1              
53;Valores repetidos;H;2010           ;1              ;10             ;07/04/1995;15             ;PREPARATORIA;EXTERNO       ;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;MÉXICO         ;             ;1              
54;Valores repetidos;H;2010           ;2              ;2              ;23/08/1994;16             ;PREPARATORIA;BECADO INTERNO;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;GUERRERO       ;             ;1              
55;Valores repetidos;H;2010           ;2              ;3              ;02/01/1994;16             ;PREPARATORIA;EXTERNO       ;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;MÉXICO         ;             ;1              
56;Valores repetidos;H;2010           ;3              ;2              ;30/08/1993;17             ;PREPARATORIA;EXTERNO       ;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;MÉXICO         ;             ;1              
57;Valores repetidos;H;2010           ;3              ;3              ;26/02/1993;17             ;PREPARATORIA;EXTERNO       ;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;MÉXICO         ;             ;1              
58;Valores repetidos;H;2010           ;4              ;1              ;07/01/1991;19             ;LICENCIATURA;BECADO INTERNO;DEIS EN IRRIGACIÓN        ;CHAPINGO;INGENIERO EN IRRIGACI;MEXICANA;CHIAPAS        ;TSELTAL      ;1              
59;Valores repetidos;H;2010           ;4              ;1              ;15/10/1991;18             ;LICENCIATURA;EXTERNO       ;DEIS EN INGENIERÍA AGROIND;CHAPINGO;INGENIERÍA AGROINDUST;MEXICANA;DURANGO        ;             ;1              
60;Valores repetidos;H;2010           ;4              ;1              ;09/05/1992;18             ;LICENCIATURA;EXTERNO       ;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;             ;1              
61;Valores repetidos;H;2010           ;4              ;2              ;19/12/1991;18             ;LICENCIATURA;BECADO INTERNO;DEIS EN FITOTECNIA        ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;OAXACA         ;MIXTECO      ;1              
62;Valores repetidos;H;2010           ;4              ;3              ;30/08/1991;19             ;LICENCIATURA;EXTERNO       ;DEIS EN SUELOS            ;CHAPINGO;INGENIERÍA EN RECURSO;MEXICANA;VERACRUZ       ;             ;1              
63;Valores repetidos;H;2010           ;4              ;3              ;11/11/1991;18             ;LICENCIATURA;EXTERNO       ;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;             ;1              
64;Valores repetidos;H;2010           ;4              ;3              ;13/06/1992;18             ;LICENCIATURA;EXTERNO       ;DEIS EN INGENIERÍA AGROIND;CHAPINGO;INGENIERÍA AGROINDUST;MEXICANA;MÉXICO         ;             ;1              
65;Valores repetidos;H;2010           ;4              ;4              ;05/10/1991;18             ;LICENCIATURA;BECADO INTERNO;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;TRONCO COMÚN DE DICEA;MEXICANA;PUEBLA         ;TOTONACO     ;1              
66;Valores repetidos;H;2010           ;5              ;1              ;23/02/1990;20             ;LICENCIATURA;BECADO EXTERNO;DEIS EN SUELOS            ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;PUEBLA         ;             ;1              
67;Valores repetidos;H;2010           ;5              ;1              ;09/09/1990;20             ;LICENCIATURA;BECADO INTERNO;UNIDAD REGIONAL UNIVERSITA;URUZA   ;INGENIERÍA EN SISTEMA;MEXICANA;MÉXICO         ;             ;1              
68;Valores repetidos;H;2010           ;5              ;1              ;16/09/1990;20             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;LICENCIATURA EN COMER;MEXICANA;OAXACA         ;HUAVE        ;1              
69;Valores repetidos;H;2010           ;5              ;2              ;10/09/1990;20             ;LICENCIATURA;BECADO INTERNO;DEIS EN IRRIGACIÓN        ;CHAPINGO;INGENIERO EN IRRIGACI;MEXICANA;PUEBLA         ;             ;1              
70;Valores repetidos;H;2010           ;5              ;2              ;06/05/1991;19             ;LICENCIATURA;BECADO INTERNO;DEIS EN FITOTECNIA        ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;CHIAPAS        ;             ;1              
71;Valores repetidos;H;2010           ;5              ;3              ;09/08/1991;19             ;LICENCIATURA;EXTERNO       ;DEIS EN INGENIERÍA AGROIND;CHAPINGO;INGENIERÍA AGROINDUST;MEXICANA;MÉXICO         ;             ;1              
72;Valores repetidos;H;2010           ;6              ;1              ;02/11/1990;19             ;LICENCIATURA;EXTERNO       ;DEIS EN PARASITOLOGÍA AGRÍ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;             ;1              
73;Valores repetidos;H;2010           ;6              ;2              ;19/05/1990;20             ;LICENCIATURA;EXTERNO       ;DEIS EN FITOTECNIA        ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;CHIAPAS        ;             ;1              
74;Valores repetidos;H;2010           ;6              ;4              ;13/08/1990;20             ;LICENCIATURA;EXTERNO       ;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;LICENCIATURA EN ECONO;MEXICANA;MÉXICO         ;             ;1              
75;Valores repetidos;H;2010           ;7              ;1              ;18/02/1989;21             ;LICENCIATURA;BECADO EXTERNO;DEIS EN PARASITOLOGÍA AGRÍ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;CHIAPAS        ;TSOTSIL      ;1              
76;Valores repetidos;H;2010           ;7              ;3              ;28/09/1988;22             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;LICENCIATURA EN ECONO;MEXICANA;MÉXICO         ;MAZAHUA      ;1              
77;Valores repetidos;H;2010           ;7              ;3              ;09/08/1989;21             ;LICENCIATURA;BECADO INTERNO;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;MAZAHUA      ;1              
78;Valores repetidos;H;2010           ;7              ;3              ;07/12/1989;20             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;LICENCIATURA EN ECONO;MEXICANA;MÉXICO         ;             ;1              
79;Valores repetidos;H;2010           ;8              ;11             ;06/10/1992;17             ;PROPEDÉUTICO;BECADO INTERNO;UNIDAD REGIONAL UNIVERSITA;URUZA   ;PROPEDÉUTICO         ;MEXICANA;DURANGO        ;             ;1              
80;Valores repetidos;H;2010           ;8              ;14             ;07/01/1992;18             ;PROPEDÉUTICO;BECADO EXTERNO;UNIDAD REGIONAL UNIVERSITA;URUSSE  ;PROPEDÉUTICO         ;MEXICANA;CHIAPAS        ;TSELTAL      ;1              
81;Valores repetidos;H;2010           ;8              ;20             ;17/08/1992;18             ;PROPEDÉUTICO;BECADO EXTERNO;CENTRO REGIONAL UNIVERSITA;CRUO    ;PROPEDÉUTICO         ;MEXICANA;VERACRUZ       ;TOTONACO     ;1              
82;Valores repetidos;M;2010           ;4              ;1              ;03/10/1992;17             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;TRONCO COMÚN DE DICEA;MEXICANA;MÉXICO         ;             ;1              
83;Valores repetidos;M;2010           ;5              ;2              ;13/09/1990;20             ;LICENCIATURA;BECADO INTERNO;UNIDAD REGIONAL UNIVERSITA;URUZA   ;INGENIERÍA EN SISTEMA;MEXICANA;ZACATECAS      ;             ;1              
84;Valores repetidos;M;2010           ;5              ;3              ;30/08/1990;20             ;LICENCIATURA;BECADO INTERNO;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;             ;1              
85;Valores repetidos;M;2010           ;5              ;3              ;27/11/1990;19             ;LICENCIATURA;BECADO INTERNO;DEIS EN INGENIERÍA AGROIND;CHAPINGO;INGENIERÍA AGROINDUST;MEXICANA;OAXACA         ;             ;1              
86;Valores repetidos;M;2010           ;6              ;1              ;15/06/1989;21             ;LICENCIATURA;BECADO INTERNO;UNIDAD REGIONAL UNIVERSITA;URUZA   ;INGENIERÍA EN SISTEMA;MEXICANA;HIDALGO        ;             ;1              
87;Valores repetidos;M;2010           ;6              ;1              ;19/12/1989;20             ;LICENCIATURA;BECADO EXTERNO;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;             ;1              
88;Valores repetidos;M;2010           ;6              ;4              ;02/10/1990;19             ;LICENCIATURA;EXTERNO       ;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;LICENCIATURA EN ECONO;MEXICANA;MÉXICO         ;             ;1              
89;Valores repetidos;H;2011           ;4              ;1              ;06/01/1991;20             ;LICENCIATURA;BECADO EXTERNO;UNIDAD REGIONAL UNIVERSITA;URUSSE  ;INGENIERO AGRÓNOMO ES;MEXICANA;VERACRUZ       ;CHINANTECO   ;1              
90;Valores repetidos;H;2011           ;4              ;1              ;10/05/1993;18             ;LICENCIATURA;BECADO EXTERNO;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;             ;1              
91;Valores repetidos;H;2011           ;4              ;2              ;02/03/1992;19             ;LICENCIATURA;BECADO INTERNO;DIVISIÓN DE CIENCIAS FORES;CHAPINGO;INGENIERO FORESTAL   ;MEXICANA;OAXACA         ;ZAPOTECO     ;1              
92;Valores repetidos;H;2011           ;4              ;3              ;27/04/1993;18             ;LICENCIATURA;BECADO INTERNO;DEIS EN INGENIERÍA MECÁNIC;CHAPINGO;INGENIERO MECÁNICO AG;MEXICANA;MORELOS        ;             ;1              
93;Valores repetidos;H;2011           ;5              ;1              ;07/01/1991;20             ;LICENCIATURA;BECADO INTERNO;DEIS EN IRRIGACIÓN        ;CHAPINGO;INGENIERO EN IRRIGACI;MEXICANA;CHIAPAS        ;TSELTAL      ;1              
94;Valores repetidos;H;2011           ;5              ;3              ;30/08/1991;20             ;LICENCIATURA;EXTERNO       ;DEIS EN SUELOS            ;CHAPINGO;INGENIERÍA EN RECURSO;MEXICANA;VERACRUZ       ;             ;1              
95;Valores repetidos;H;2011           ;6              ;1              ;23/02/1990;21             ;LICENCIATURA;BECADO EXTERNO;DEIS EN SUELOS            ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;PUEBLA         ;             ;1              
96;Valores repetidos;H;2011           ;6              ;1              ;09/09/1990;21             ;LICENCIATURA;BECADO INTERNO;UNIDAD REGIONAL UNIVERSITA;URUZA   ;INGENIERÍA EN SISTEMA;MEXICANA;MÉXICO         ;             ;1              
97;Valores repetidos;H;2011           ;6              ;1              ;16/09/1990;21             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;LICENCIATURA EN COMER;MEXICANA;OAXACA         ;HUAVE        ;1              
98;Valores repetidos;H;2011           ;6              ;2              ;06/05/1991;20             ;LICENCIATURA;BECADO INTERNO;DEIS EN FITOTECNIA        ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;CHIAPAS        ;             ;1              
99;Valores repetidos;H;2011           ;7              ;2              ;19/05/1990;21             ;LICENCIATURA;BECADO INTERNO;DEIS EN PARASITOLOGÍA AGRÍ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;CHIAPAS        ;             ;1              
100;Valores repetidos;H;2011           ;8              ;22             ;18/11/1992;18             ;PROPEDÉUTICO;BECADO EXTERNO;CENTRO REGIONAL UNIVERSITA;CRUCEN  ;PROPEDÉUTICO         ;MEXICANA;SAN LUIS POTOSÍ;NÁHUATL      ;1              
101;Valores repetidos;M;2011           ;1              ;9              ;18/10/1996;14             ;PREPARATORIA;EXTERNO       ;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;MÉXICO         ;             ;1              
102;Valores repetidos;M;2011           ;1              ;16             ;18/12/1995;15             ;PREPARATORIA;BECADO INTERNO;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;OAXACA         ;CHATINO      ;1              
103;Valores repetidos;M;2011           ;1              ;18             ;10/02/1995;16             ;PREPARATORIA;BECADO INTERNO;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;OAXACA         ;ZAPOTECO     ;1              
104;Valores repetidos;M;2011           ;4              ;1              ;19/07/1992;19             ;LICENCIATURA;BECADO EXTERNO;UNIDAD REGIONAL UNIVERSITA;URUSSE  ;INGENIERO AGRÓNOMO ES;MEXICANA;VERACRUZ       ;             ;1              
105;Valores repetidos;M;2011           ;4              ;1              ;15/05/1993;18             ;LICENCIATURA;BECADO EXTERNO;DEIS EN SUELOS            ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;             ;1              
106;Valores repetidos;M;2011           ;4              ;4              ;10/09/1992;19             ;LICENCIATURA;BECADO INTERNO;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;VERACRUZ       ;             ;1              
107;Valores repetidos;M;2011           ;4              ;4              ;22/04/1993;18             ;LICENCIATURA;EXTERNO       ;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;TRONCO COMÚN DE DICEA;MEXICANA;MÉXICO         ;             ;1              
108;Valores repetidos;M;2011           ;4              ;5              ;20/11/1993;17             ;LICENCIATURA;BECADO EXTERNO;DEIS EN SUELOS            ;CHAPINGO;INGENIERÍA EN RECURSO;MEXICANA;MÉXICO         ;PURÉPECHA O T;1              
109;Valores repetidos;M;2011           ;6              ;3              ;27/11/1990;20             ;LICENCIATURA;BECADO INTERNO;DEIS EN INGENIERÍA AGROIND;CHAPINGO;INGENIERÍA AGROINDUST;MEXICANA;OAXACA         ;             ;1              
110;Valores repetidos;M;2011           ;6              ;3              ;28/12/1990;20             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;LICENCIATURA EN ECONO;MEXICANA;PUEBLA         ;             ;1              
